productname,variationname,companyname,homeloantype,mintotalloanamount,maxlvr,minlvr,fixmonth,allowssplitloan,hasoffsetaccount,isfirsthomebuyersavailable,requiresfirsthomebuyers,hasowneroccupiedpurpose,hasinvestmentpurpose,hasprincipalandinterest,hasinterestonly,minloanterm,maxloanterm,hasweeklyrepayments,hasfortnightlyrepayments,hasmonthlyrepayments,isnewcustomer,labels
Ultimate Fixed Home Loan,"Ultimate Fixed Home Loan 2 Years (NSW, ACT & QLD only)",Greater Bank,FIXED,40000.0,95.0,0.0,24.0,True,False,True,False,True,False,True,False,0,30,True,True,True,False,2
Ultimate Fixed Home Loan,"Ultimate Fixed Home Loan 5 Years (NSW, ACT & QLD only)",Greater Bank,FIXED,40000.0,95.0,0.0,60.0,True,False,True,False,True,False,True,False,0,30,True,True,True,False,2
Ultimate Variable Home Loan,"Ultimate Variable Home Loan (NSW, ACT & QLD only)",Greater Bank,VARIABLE,40000.0,95.0,80.0,nan,True,True,True,False,True,False,True,False,0,30,True,True,True,False,3
Great Rate Fixed Investment Loan (Principal and Interest),"Great Rate Fixed Investment Loan (Principal and Interest) 3 Years (NSW, ACT & QLD only)",Greater Bank,FIXED,0.0,90.0,80.0,36.0,True,False,True,False,False,True,True,False,0,30,True,True,True,False,5
Great Rate Fixed Investment Loan (Principal and Interest),"Great Rate Fixed Investment Loan (Principal and Interest) 4 Years (NSW, ACT & QLD only)",Greater Bank,FIXED,0.0,90.0,80.0,48.0,True,False,True,False,False,True,True,False,0,30,True,True,True,False,5
Great Rate Variable Investment Loan (Principal and Interest),"Great Rate Variable Investment Loan (Principal and Interest) (NSW, ACT & QLD only)",Greater Bank,VARIABLE,40000.0,95.0,0.0,nan,True,False,True,False,False,True,True,False,0,30,True,True,True,False,1
Great Rate Fixed Home Loan,"Great Rate Fixed Home Loan 2 Years (NSW, ACT & QLD only)",Greater Bank,FIXED,0.0,95.0,80.0,24.0,True,False,True,False,True,False,True,False,0,30,True,True,True,False,2
Great Rate Fixed Home Loan,"Great Rate Fixed Home Loan 4 Years (NSW, ACT & QLD only)",Greater Bank,FIXED,0.0,95.0,80.0,48.0,True,False,True,False,True,False,True,False,0,30,True,True,True,False,2
Great Rate Variable Home Loan,"Great Rate Variable Home Loan (NSW, ACT & QLD only)",Greater Bank,VARIABLE,40000.0,95.0,0.0,nan,True,False,True,False,True,False,True,False,0,30,True,True,True,False,3
Standard Variable Rate Home Loan,Standard Variable Rate Home Loan,SCU,VARIABLE,25000.0,95.0,0.0,nan,True,True,True,False,True,False,True,False,1,30,True,True,True,False,3
Pro Pack Home Loan,Pro Pack Home Loan ($150k-$250k),SCU,VARIABLE,150000.0,95.0,0.0,nan,True,True,True,False,True,False,True,False,1,30,True,True,True,False,3
My Life Variable Rate Package,My Life Variable Rate Package ($500k+),SCU,VARIABLE,500000.0,95.0,0.0,nan,True,True,True,False,True,False,True,False,1,30,True,True,True,False,3
My Life Fixed Rate Package,My Life Fixed Rate Package 1 Year,SCU,FIXED,150000.0,95.0,0.0,12.0,True,False,True,False,True,False,True,False,1,30,True,True,True,False,2
My Life Fixed Rate Package,My Life Fixed Rate Package 2 Years,SCU,FIXED,150000.0,95.0,0.0,24.0,True,False,True,False,True,False,True,False,1,30,True,True,True,False,2
Home Equity Overdraft,Home Equity Overdraft,SCU,VARIABLE,10000.0,70.0,0.0,nan,False,False,True,False,True,False,True,False,1,30,True,True,True,False,3
Fixed Rate Investment Loan (Principal and Interest),Fixed Rate Investment Loan (Principal and Interest) 1 Year,SCU,FIXED,100000.0,95.0,0.0,12.0,True,False,True,False,False,True,True,False,1,30,True,True,True,False,5
Fixed Rate Investment Loan (Principal and Interest),Fixed Rate Investment Loan (Principal and Interest) 3 Years,SCU,FIXED,100000.0,95.0,0.0,36.0,True,False,True,False,False,True,True,False,1,30,True,True,True,False,5
Fixed Rate Home Loan,Fixed Rate Home Loan 2 Years,SCU,FIXED,25000.0,95.0,0.0,24.0,True,False,True,False,True,False,True,False,1,30,True,True,True,False,2
Fixed Rate Home Loan,Fixed Rate Home Loan 5 Years,SCU,FIXED,25000.0,95.0,0.0,60.0,True,False,True,False,True,False,True,False,1,30,True,True,True,False,2
Choice Package Tailored Home Loan Fixed (Principal and Interest) (First Home Buyer Special),Choice Package Tailored Home Loan Fixed (Principal and Interest) (First Home Buyer Special) 2 Years,NAB,FIXED,150000.0,90.0,0.0,24.0,True,False,False,True,True,False,True,False,1,30,True,True,True,False,2
Choice Package Tailored Home Loan Fixed (Interest Only in Advance),Choice Package Tailored Home Loan Fixed (Interest Only in Advance) 3 Years,NAB,FIXED,150000.0,80.0,0.0,36.0,True,False,True,False,True,False,False,True,1,30,False,False,True,False,0
Choice Package Tailored Home Loan Fixed (Interest Only in Advance),Choice Package Tailored Home Loan Fixed (Interest Only in Advance) 5 Years,NAB,FIXED,150000.0,80.0,0.0,60.0,True,False,True,False,True,False,False,True,1,30,False,False,True,False,0
Tailored Home Loan Fixed (Interest Only in Advance),Tailored Home Loan Fixed (Interest Only in Advance) 5 Years,NAB,FIXED,20000.0,80.0,0.0,60.0,True,False,True,False,True,False,False,True,1,30,False,False,True,False,0
Tailored Home Loan Fixed (Interest Only in Advance),Tailored Home Loan Fixed (Interest Only in Advance) 1 Year,NAB,FIXED,20000.0,80.0,0.0,12.0,True,False,True,False,True,False,False,True,1,30,False,False,True,False,0
Tailored Home Loan Fixed (Interest Only in Advance),Tailored Home Loan Fixed (Interest Only in Advance) 3 Years,NAB,FIXED,20000.0,80.0,0.0,36.0,True,False,True,False,True,False,False,True,1,30,False,False,True,False,0
Tailored Investment Loan Fixed (Interest Only in Advance),Tailored Investment Loan Fixed (Interest Only in Advance) 5 Years,NAB,FIXED,20000.0,80.0,0.0,60.0,True,False,True,False,False,True,False,True,1,30,False,False,True,False,4
Tailored Investment Loan Fixed (Interest Only in Advance),Tailored Investment Loan Fixed (Interest Only in Advance) 4 Years,NAB,FIXED,20000.0,80.0,0.0,48.0,True,False,True,False,False,True,False,True,1,30,False,False,True,False,4
Choice Package Tailored Investment Loan Fixed (Interest Only in Advance),Choice Package Tailored Investment Loan Fixed (Interest Only in Advance) 2 Years,NAB,FIXED,20000.0,80.0,0.0,24.0,True,False,True,False,False,True,False,True,1,30,True,True,True,False,4
Choice Package Tailored Investment Loan Fixed (Interest Only in Advance),Choice Package Tailored Investment Loan Fixed (Interest Only in Advance) 3 Years,NAB,FIXED,20000.0,80.0,0.0,36.0,True,False,True,False,False,True,False,True,1,30,True,True,True,False,4
Choice Package Tailored Investment Loan Fixed (Interest Only in Advance),Choice Package Tailored Investment Loan Fixed (Interest Only in Advance) 5 Years,NAB,FIXED,20000.0,80.0,0.0,60.0,True,False,True,False,False,True,False,True,1,30,True,True,True,False,4
Base Variable Investment Loan (Interest Only),Base Variable Investment Loan (Interest Only),NAB,VARIABLE,20000.0,80.0,0.0,nan,True,False,True,False,False,True,False,True,1,30,False,False,True,False,4
Tailored Investment Loan Fixed (Principal and Interest),Tailored Investment Loan Fixed (Principal and Interest) 5 Years,NAB,FIXED,20000.0,95.0,0.0,60.0,True,False,True,False,False,True,True,False,1,30,True,True,True,False,5
Tailored Investment Loan Fixed (Principal and Interest),Tailored Investment Loan Fixed (Principal and Interest) 3 Years,NAB,FIXED,20000.0,95.0,0.0,36.0,True,False,True,False,False,True,True,False,1,30,True,True,True,False,5
Tailored Investment Loan Fixed (Interest Only in Arrears),Tailored Investment Loan Fixed (Interest Only in Arrears) 3 Years,NAB,FIXED,20000.0,80.0,0.0,36.0,True,False,True,False,False,True,False,True,1,30,False,False,True,False,4
Tailored Investment Loan Fixed (Interest Only in Arrears),Tailored Investment Loan Fixed (Interest Only in Arrears) 1 Year,NAB,FIXED,20000.0,80.0,0.0,12.0,True,False,True,False,False,True,False,True,1,30,False,False,True,False,4
Tailored Investment Loan Fixed (Interest Only in Arrears),Tailored Investment Loan Fixed (Interest Only in Arrears) 4 Years,NAB,FIXED,20000.0,80.0,0.0,48.0,True,False,True,False,False,True,False,True,1,30,False,False,True,False,4
Tailored Investment Loan (Interest Only),Tailored Investment Loan (Interest Only),NAB,VARIABLE,20000.0,80.0,0.0,nan,True,True,True,False,False,True,False,True,1,30,False,False,True,False,4
Tailored Home Loan Fixed (Principal and Interest),Tailored Home Loan Fixed (Principal and Interest) 3 Years,NAB,FIXED,20000.0,95.0,0.0,36.0,True,False,True,False,True,False,True,False,1,30,True,True,True,False,2
Tailored Home Loan Fixed (Principal and Interest),Tailored Home Loan Fixed (Principal and Interest) 2 Years,NAB,FIXED,20000.0,95.0,0.0,24.0,True,False,True,False,True,False,True,False,1,30,True,True,True,False,2
Tailored Home Loan Fixed (Interest Only in Arrears),Tailored Home Loan Fixed (Interest Only in Arrears) 4 Years,NAB,FIXED,20000.0,80.0,0.0,48.0,True,False,True,False,True,False,False,True,1,30,False,False,True,False,0
Tailored Home Loan Fixed (Interest Only in Arrears),Tailored Home Loan Fixed (Interest Only in Arrears) 5 Years,NAB,FIXED,20000.0,80.0,0.0,60.0,True,False,True,False,True,False,False,True,1,30,False,False,True,False,0
Tailored Home Loan Fixed (Interest Only in Arrears),Tailored Home Loan Fixed (Interest Only in Arrears) 1 Year,NAB,FIXED,20000.0,80.0,0.0,12.0,True,False,True,False,True,False,False,True,1,30,False,False,True,False,0
Tailored Home Loan (Interest Only),Tailored Home Loan (Interest Only),NAB,VARIABLE,20000.0,80.0,0.0,nan,True,True,True,False,True,False,False,True,1,30,False,False,True,False,0
Portfolio Facility Fixed,Portfolio Facility Fixed 4 Years,NAB,FIXED,250000.0,80.0,0.0,48.0,False,False,True,False,True,True,False,True,1,30,False,False,True,False,4
Portfolio Facility Fixed,Portfolio Facility Fixed 1 Year,NAB,FIXED,250000.0,80.0,0.0,12.0,False,False,True,False,True,True,False,True,1,30,False,False,True,False,4
Portfolio Facility,Portfolio Facility ($500k-$1m),NAB,VARIABLE,500000.0,80.0,0.0,nan,False,False,True,False,True,True,False,True,1,30,False,False,True,False,0
Portfolio Facility,Portfolio Facility ($250k-$500k),NAB,VARIABLE,250000.0,80.0,0.0,nan,False,False,True,False,True,True,False,True,1,30,False,False,True,False,0
Choice Package Tailored Investment Loan Fixed (Principal and Interest),Choice Package Tailored Investment Loan Fixed (Principal and Interest) 5 Years,NAB,FIXED,150000.0,95.0,0.0,60.0,True,False,True,False,False,True,True,False,1,30,True,True,True,False,5
Choice Package Tailored Investment Loan Fixed (Principal and Interest),Choice Package Tailored Investment Loan Fixed (Principal and Interest) 1 Year,NAB,FIXED,150000.0,95.0,0.0,12.0,True,False,True,False,False,True,True,False,1,30,True,True,True,False,5
Choice Package Tailored Investment Loan Fixed (Principal and Interest),Choice Package Tailored Investment Loan Fixed (Principal and Interest) 3 Years,NAB,FIXED,150000.0,95.0,0.0,36.0,True,False,True,False,False,True,True,False,1,30,True,True,True,False,5
Choice Package Tailored Investment Loan Fixed (Interest Only in Arrears),Choice Package Tailored Investment Loan Fixed (Interest Only in Arrears) 5 Years,NAB,FIXED,150000.0,80.0,0.0,60.0,True,False,True,False,False,True,False,True,1,30,True,True,True,False,4
Choice Package Tailored Investment Loan Fixed (Interest Only in Arrears),Choice Package Tailored Investment Loan Fixed (Interest Only in Arrears) 3 Years,NAB,FIXED,150000.0,80.0,0.0,36.0,True,False,True,False,False,True,False,True,1,30,True,True,True,False,4
Choice Package Tailored Investment Loan (Principal and Interest),Choice Package Tailored Investment Loan (Principal and Interest) (Amounts < $250k),NAB,VARIABLE,150000.0,95.0,0.0,nan,True,True,True,False,False,True,True,False,1,30,True,True,True,False,1
Choice Package Tailored Investment Loan (Principal and Interest),Choice Package Tailored Investment Loan (Principal and Interest) ($250k-$750k),NAB,VARIABLE,250000.0,95.0,0.0,nan,True,True,True,False,False,True,True,False,1,30,True,True,True,False,1
Choice Package Tailored Investment Loan (Interest Only),Choice Package Tailored Investment Loan (Interest Only) (Amounts < $250k),NAB,VARIABLE,150000.0,80.0,0.0,nan,True,True,True,False,False,True,False,True,1,30,False,False,True,False,4
Choice Package Tailored Home Loan Fixed (Principal and Interest),Choice Package Tailored Home Loan Fixed (Principal and Interest) 5 Years,NAB,FIXED,150000.0,95.0,0.0,60.0,True,False,True,False,True,False,True,False,1,30,True,True,True,False,2
Choice Package Tailored Home Loan Fixed (Principal and Interest),Choice Package Tailored Home Loan Fixed (Principal and Interest) 2 Years,NAB,FIXED,150000.0,95.0,0.0,24.0,True,False,True,False,True,False,True,False,1,30,True,True,True,False,2
Choice Package Tailored Home Loan Fixed (Principal and Interest),Choice Package Tailored Home Loan Fixed (Principal and Interest) 4 Years,NAB,FIXED,150000.0,95.0,0.0,48.0,True,False,True,False,True,False,True,False,1,30,True,True,True,False,2
Choice Package Tailored Home Loan Fixed (Interest Only in Arrears),Choice Package Tailored Home Loan Fixed (Interest Only in Arrears) 5 Years,NAB,FIXED,150000.0,80.0,0.0,60.0,True,False,True,False,True,False,False,True,1,30,False,False,True,False,0
Choice Package Tailored Home Loan Fixed (Interest Only in Arrears),Choice Package Tailored Home Loan Fixed (Interest Only in Arrears) 3 Years,NAB,FIXED,150000.0,80.0,0.0,36.0,True,False,True,False,True,False,False,True,1,30,False,False,True,False,0
Choice Package Tailored Home Loan (Principal and Interest),Choice Package Tailored Home Loan (Principal and Interest) ($750k+),NAB,VARIABLE,750000.0,95.0,0.0,nan,True,True,True,False,True,False,True,False,1,30,True,True,True,False,3
Choice Package Tailored Home Loan (Principal and Interest),Choice Package Tailored Home Loan (Principal and Interest) ($250k-$750k),NAB,VARIABLE,250000.0,95.0,0.0,nan,True,True,True,False,True,False,True,False,1,30,True,True,True,False,3
Choice Package Tailored Home Loan (Interest Only),Choice Package Tailored Home Loan (Interest Only) ($250k-$750k),NAB,VARIABLE,250000.0,80.0,0.0,nan,True,True,True,False,True,False,False,True,1,30,False,False,True,False,0
Choice Package Flexiplus Mortgage,Choice Package Flexiplus Mortgage,NAB,VARIABLE,150000.0,80.0,0.0,nan,True,False,True,False,True,True,False,True,1,30,False,False,True,False,0
Base Variable Home Loan (Interest Only),Base Variable Home Loan (Interest Only),NAB,VARIABLE,20000.0,80.0,0.0,nan,True,False,True,False,True,False,False,True,1,30,False,False,True,False,0
Breakfree Package Equity Manager (Low Doc),Breakfree Package Equity Manager (Low Doc) ($250k-$700k),ANZ,VARIABLE,250000.0,60.0,0.0,nan,True,False,True,False,True,True,True,False,1,30,False,False,True,False,1
Breakfree Package Equity Manager (Low Doc),Breakfree Package Equity Manager (Low Doc) ($700k+),ANZ,VARIABLE,700000.0,60.0,0.0,nan,True,False,True,False,True,True,True,False,1,30,False,False,True,False,1
Breakfree Package Variable Investment Loan (Low Doc),Breakfree Package Variable Investment Loan (Low Doc) ($150k-$250k),ANZ,VARIABLE,150000.0,60.0,0.0,nan,True,True,False,False,False,True,True,False,1,30,True,True,True,False,1
Breakfree Package Variable Home Loan (Low Doc),Breakfree Package Variable Home Loan (Low Doc) ($150k-$250k),ANZ,VARIABLE,150000.0,60.0,0.0,nan,True,True,False,False,True,False,True,False,1,30,True,True,True,False,3
Breakfree Package Variable Home Loan (Low Doc),Breakfree Package Variable Home Loan (Low Doc) ($250k-$700k),ANZ,VARIABLE,250000.0,60.0,0.0,nan,True,True,False,False,True,False,True,False,1,30,True,True,True,False,3
Breakfree Package Fixed Rate Investment Loan (Principal and Interest) (Low Doc),Breakfree Package Fixed Rate Investment Loan (Principal and Interest) (Low Doc) 5 Years,ANZ,FIXED,150000.0,60.0,0.0,60.0,True,True,False,False,False,True,True,False,1,30,True,True,True,False,5
Breakfree Package Fixed Rate Investment Loan (Principal and Interest) (Low Doc),Breakfree Package Fixed Rate Investment Loan (Principal and Interest) (Low Doc) 3 Years,ANZ,FIXED,150000.0,60.0,0.0,36.0,True,True,False,False,False,True,True,False,1,30,True,True,True,False,5
Breakfree Package Fixed Rate Investment Loan (Principal and Interest) (Low Doc),Breakfree Package Fixed Rate Investment Loan (Principal and Interest) (Low Doc) 2 Years,ANZ,FIXED,150000.0,60.0,0.0,24.0,True,True,False,False,False,True,True,False,1,30,True,True,True,False,5
Breakfree Package Fixed Rate Home Loan (Low Doc),Breakfree Package Fixed Rate Home Loan (Low Doc) 4 Years,ANZ,FIXED,150000.0,60.0,0.0,48.0,True,False,False,False,True,False,True,False,1,30,True,True,True,False,2
Breakfree Package Fixed Rate Home Loan (Low Doc),Breakfree Package Fixed Rate Home Loan (Low Doc) 2 Years,ANZ,FIXED,150000.0,60.0,0.0,24.0,True,False,False,False,True,False,True,False,1,30,True,True,True,False,2
Breakfree Package Fixed Rate Home Loan (Low Doc),Breakfree Package Fixed Rate Home Loan (Low Doc) 7 Years,ANZ,FIXED,150000.0,60.0,0.0,84.0,True,False,False,False,True,False,True,False,1,30,True,True,True,False,2
Breakfree Package Fixed Rate Home Loan (Low Doc),Breakfree Package Fixed Rate Home Loan (Low Doc) 1 Year,ANZ,FIXED,150000.0,60.0,0.0,12.0,True,False,False,False,True,False,True,False,1,30,True,True,True,False,2
Equity Manager (Low Doc),Equity Manager (Low Doc),ANZ,VARIABLE,20000.0,60.0,0.0,nan,True,False,False,False,True,True,True,False,1,30,False,False,True,False,1
Standard Variable Home Loan (Low Doc),Standard Variable Home Loan (Low Doc),ANZ,VARIABLE,20000.0,60.0,0.0,nan,True,True,False,False,True,False,True,False,1,30,True,True,True,False,3
Fixed Rate Home Loan (Low Doc),Fixed Rate Home Loan (Low Doc) 7 Years,ANZ,FIXED,20000.0,60.0,0.0,84.0,True,True,False,False,True,False,True,False,1,30,True,True,True,False,2
Fixed Rate Home Loan (Low Doc),Fixed Rate Home Loan (Low Doc) 4 Years,ANZ,FIXED,20000.0,60.0,0.0,48.0,True,True,False,False,True,False,True,False,1,30,True,True,True,False,2
Fixed Rate Home Loan (Low Doc),Fixed Rate Home Loan (Low Doc) 2 Years,ANZ,FIXED,20000.0,60.0,0.0,24.0,True,True,False,False,True,False,True,False,1,30,True,True,True,False,2
Fixed Rate Investment Loan (Low Doc),Fixed Rate Investment Loan (Low Doc) 10 Years,ANZ,FIXED,20000.0,60.0,0.0,120.0,True,True,False,False,False,True,True,False,1,30,True,True,True,False,5
Fixed Rate Investment Loan (Low Doc),Fixed Rate Investment Loan (Low Doc) 3 Years,ANZ,FIXED,20000.0,60.0,0.0,36.0,True,True,False,False,False,True,True,False,1,30,True,True,True,False,5
Fixed Rate Investment Loan (Low Doc),Fixed Rate Investment Loan (Low Doc) 4 Years,ANZ,FIXED,20000.0,60.0,0.0,48.0,True,True,False,False,False,True,True,False,1,30,True,True,True,False,5
Fixed Rate Investment Loan (Low Doc),Fixed Rate Investment Loan (Low Doc) 7 Years,ANZ,FIXED,20000.0,60.0,0.0,84.0,True,True,False,False,False,True,True,False,1,30,True,True,True,False,5
Breakfree Package Variable Investment Loan (Principal and Interest) (New Customer),"Breakfree Package Variable Investment Loan (Principal and Interest) (New Customer) ($250k-$500k, LVR 80%-90%)",ANZ,VARIABLE,250000.0,90.0,80.0,nan,True,True,True,False,False,True,True,False,1,30,True,True,True,True,1
Breakfree Package Variable Investment Loan (Principal and Interest) (New Customer),"Breakfree Package Variable Investment Loan (Principal and Interest) (New Customer) ($500k+, LVR 80%-90%)",ANZ,VARIABLE,500000.0,90.0,80.0,nan,True,True,True,False,False,True,True,False,1,30,True,True,True,True,1
Breakfree Package Variable Home Loan (Principal and Interest) (New Customer),"Breakfree Package Variable Home Loan (Principal and Interest) (New Customer) ($500k+, LVR 80%-95%)",ANZ,VARIABLE,500000.0,95.0,80.0,nan,True,True,True,False,True,False,True,False,1,30,True,True,True,True,3
Breakfree Package Variable Home Loan (Principal and Interest) (New Customer),"Breakfree Package Variable Home Loan (Principal and Interest) (New Customer) ($250k-$500k, LVR < 80%)",ANZ,VARIABLE,250000.0,80.0,0.0,nan,True,True,True,False,True,False,True,False,1,30,True,True,True,True,3
Breakfree Package Equity Manager (New Customer),"Breakfree Package Equity Manager (New Customer) ($250k-$500k, LVR 80%-90%)",ANZ,VARIABLE,250000.0,90.0,80.0,nan,True,False,True,False,True,True,False,True,1,30,False,False,True,True,0
Breakfree Package Equity Manager (New Customer),"Breakfree Package Equity Manager (New Customer) ($500k+, LVR 80%-90%)",ANZ,VARIABLE,500000.0,90.0,80.0,nan,True,False,True,False,True,True,False,True,1,30,False,False,True,True,0
Standard Variable Investment Loan (Principal and Interest),Standard Variable Investment Loan (Principal and Interest),ANZ,VARIABLE,20000.0,90.0,0.0,nan,True,True,True,False,False,True,True,False,1,30,True,True,True,False,1
Simplicity PLUS Investment Loan (Principal and Interest),Simplicity PLUS Investment Loan (Principal and Interest),ANZ,VARIABLE,50000.0,90.0,0.0,nan,True,False,True,False,False,True,True,False,1,30,True,True,True,False,1
Fixed Rate Investment Loan (Interest in Advance Yearly),Fixed Rate Investment Loan (Interest in Advance Yearly) 10 Years,ANZ,FIXED,20000.0,90.0,0.0,120.0,True,True,True,False,False,True,False,True,1,30,True,True,True,False,4
Fixed Rate Investment Loan (Interest in Advance Yearly),Fixed Rate Investment Loan (Interest in Advance Yearly) 1 Year,ANZ,FIXED,20000.0,90.0,0.0,12.0,True,True,True,False,False,True,False,True,1,30,True,True,True,False,4
Fixed Rate Investment Loan (Interest in Advance Yearly),Fixed Rate Investment Loan (Interest in Advance Yearly) 7 Years,ANZ,FIXED,20000.0,90.0,0.0,84.0,True,True,True,False,False,True,False,True,1,30,True,True,True,False,4
Fixed Rate Investment Loan (Principal and Interest),Fixed Rate Investment Loan (Principal and Interest) 5 Years ,ANZ,FIXED,20000.0,90.0,0.0,60.0,True,True,True,False,False,True,True,False,1,30,True,True,True,False,5
Fixed Rate Investment Loan (Principal and Interest),Fixed Rate Investment Loan (Principal and Interest) 4 Years  ,ANZ,FIXED,20000.0,90.0,0.0,48.0,True,True,True,False,False,True,True,False,1,30,True,True,True,False,5
Fixed Rate Investment Loan (Principal and Interest),Fixed Rate Investment Loan (Principal and Interest) 10 Years,ANZ,FIXED,20000.0,90.0,0.0,120.0,True,True,True,False,False,True,True,False,1,30,True,True,True,False,5
Fixed Rate Investment Loan (Principal and Interest),Fixed Rate Investment Loan (Principal and Interest) 1 Year,ANZ,FIXED,20000.0,90.0,0.0,12.0,True,True,True,False,False,True,True,False,1,30,True,True,True,False,5
Fixed Rate Home Loan (Principal and Interest),Fixed Rate Home Loan (Principal and Interest) 4 Years,ANZ,FIXED,20000.0,95.0,0.0,48.0,True,True,True,False,True,False,True,False,1,30,True,True,True,False,2
Fixed Rate Home Loan (Principal and Interest),Fixed Rate Home Loan (Principal and Interest) 7 Years,ANZ,FIXED,20000.0,95.0,0.0,84.0,True,True,True,False,True,False,True,False,1,30,True,True,True,False,2
Fixed Rate Home Loan (Principal and Interest),Fixed Rate Home Loan (Principal and Interest) 5 Years,ANZ,FIXED,20000.0,95.0,0.0,60.0,True,True,True,False,True,False,True,False,1,30,True,True,True,False,2
Equity Manager,Equity Manager,ANZ,VARIABLE,20000.0,90.0,0.0,nan,True,False,True,False,True,True,True,True,1,30,False,False,True,False,0
Breakfree Package Variable Investment Loan (Principal and Interest),Breakfree Package Variable Investment Loan (Principal and Interest) ($150k-$250k),ANZ,VARIABLE,150000.0,90.0,0.0,nan,True,True,True,False,False,True,True,False,1,30,True,True,True,False,1
Breakfree Package Variable Home Loan (Principal and Interest),Breakfree Package Variable Home Loan (Principal and Interest) ($700k+),ANZ,VARIABLE,700000.0,95.0,0.0,nan,True,True,True,False,True,False,True,False,1,30,True,True,True,False,3
Breakfree Package Variable Home Loan (Principal and Interest),Breakfree Package Variable Home Loan (Principal and Interest) ($150k-$250k),ANZ,VARIABLE,150000.0,95.0,0.0,nan,True,True,True,False,True,False,True,False,1,30,True,True,True,False,3
Breakfree Package Fixed Rate Investment Loan (Interest in Advance Yearly),Breakfree Package Fixed Rate Investment Loan (Interest in Advance Yearly) 10 Years,ANZ,FIXED,150000.0,90.0,0.0,120.0,True,False,True,False,False,True,False,True,1,30,True,True,True,False,4
Breakfree Package Fixed Rate Investment Loan (Interest in Advance Yearly),Breakfree Package Fixed Rate Investment Loan (Interest in Advance Yearly) 3 Years,ANZ,FIXED,150000.0,90.0,0.0,36.0,True,False,True,False,False,True,False,True,1,30,True,True,True,False,4
Breakfree Package Fixed Rate Investment Loan (Interest in Advance Yearly),Breakfree Package Fixed Rate Investment Loan (Interest in Advance Yearly) 5 Years,ANZ,FIXED,150000.0,90.0,0.0,60.0,True,False,True,False,False,True,False,True,1,30,True,True,True,False,4
Breakfree Package Fixed Rate Investment Loan (Principal and Interest),Breakfree Package Fixed Rate Investment Loan (Principal and Interest) 2 Years,ANZ,FIXED,150000.0,90.0,0.0,24.0,True,True,True,False,False,True,True,False,1,30,True,True,True,False,5
Breakfree Package Fixed Rate Investment Loan (Principal and Interest),Breakfree Package Fixed Rate Investment Loan (Principal and Interest) 7 Years,ANZ,FIXED,150000.0,90.0,0.0,84.0,True,True,True,False,False,True,True,False,1,30,True,True,True,False,5
